round,N1_cov,N1_cov_var,N1_est_mean,N1_est_var,N2_cov,N2_cov_var,N2_est_mean,N2_est_var,NQ1_cov,NQ1_cov_var,NQ1_est_mean,NQ1_est_var,NQ2_cov,NQ2_cov_var,NQ2_est_mean,NQ2_est_var,T1_cov,T1_cov_var,T1_est_mean,T1_est_var,T2_cov,T2_cov_var,T2_est_mean,T2_est_var,W1_cov,W1_cov_var,W1_est_mean,W1_est_var,W2_cov,W2_cov_var,W2_est_mean,W2_est_var,X1_cov,X1_cov_var,X1_est_mean,X1_est_var,X2_cov,X2_cov_var,X2_est_mean,X2_est_var
0,,,1.0577777777777777,1.7304588451221234,,,41.636825396825394,701.0941957604726,,,0.7536507936507937,1.2671007038986708,,,41.346666666666664,702.2825412960611,,,2.032412821829735,3.7928593745275094,,,71.75042342309824,1962.010983783296,,,1.1013731268606843,2.629454286632828,,,67.33805310655282,1641.9350802652987,,,0.9310396949690509,0.9223484004324186,,,4.4123703165454495,87.58156018839955
1,0.004751531996240752,0.0033460177218094644,0.9602941176470589,1.4200558369042982,3912.606448953481,24.548716952492054,130.0970588235294,159.38130112972337,0.0035110400396542126,0.0035587944772983915,0.6698529411764705,0.9865812881443968,3911.6058633266043,24.466983584803792,129.7955882352941,159.87282820412995,0.01100188548104911,0.0027313188625509442,2.180749502937606,4.028048732023101,12661.335024473785,12.848067621224754,230.88140736069465,985.4660948046001,0.0056967495656730085,0.001850781843124899,1.2081134619329803,3.0780232618094505,12884.343982354461,13.798444563099975,227.8643374487406,933.7533606367476,0.000865128001755627,0.0007751308053863416,0.9726360410046254,1.116105818197264,0.973431609526727,0.03810458171366137,3.0170699119538598,25.546314006058996
2,0.007952082130777477,0.004195681351788076,1.1383763837638377,1.8953017314788534,7388.200753720219,5.363134724325744,213.52152521525215,1377.5899979184408,0.005826439897243874,0.004178947056273092,0.8222632226322263,1.3942363515942853,7388.799352676774,5.360787378017404,213.23862238622385,1378.3048704702396,0.007216797009027171,0.002121280584413045,2.0348346446597567,3.4020944999239915,19756.059825071105,6.093389773387896,352.0051700581656,3242.2117343212117,0.007784116859497823,0.0035514128206428964,1.0330583477929736,2.1918366725073373,19714.880881932844,7.075731902171217,347.145993937664,2786.267364918568,0.0012638462272102473,0.0009969816247046269,1.001776296866783,1.267672538683633,0.9233089881785068,0.005125151581417399,4.859176120501284,180.15252300560422
3,0.005306381108774098,0.002861212660025166,1.047680412371134,1.8545916502156905,14741.880408676494,15.517268840835584,326.57409793814435,950.0306116938207,0.003894281849933693,0.0027873972190730974,0.7422680412371134,1.397103298836135,14742.306582594494,15.513576131799566,326.2828608247423,950.2842192765515,0.013700386720051737,0.00291449540535033,2.2712306448911908,4.700774856224182,39468.56640027957,10.764113059111654,542.544631421233,3666.680773746615,0.013296894825465618,0.003944376461534573,1.2942647772853035,3.3711018598595976,39472.249707860814,11.197338626732812,538.6403693949073,3525.145663954804,0.0008605496245697403,0.0008680214833495791,0.9769658676058873,0.9913920808146293,0.6247498948933132,0.010041035303293694,3.904262026325763,62.219669189727945
4,0.01061262517005597,0.008390131188908911,0.86892177589852,1.2648938295607368,19857.09215033036,54.537082105038266,387.72727272727275,364.10257725350357,0.007014076211173473,0.007909828600341548,0.6039464411557435,0.8867545133494553,19854.665718007032,54.41322587874752,387.4031007751938,364.8867604771395,0.010965414744950658,0.0033269590323392294,2.0710648954034867,3.295927193080201,53958.85193418601,46.158269262945446,648.2755445633952,1168.9964289346233,0.010175069052976196,0.0038635851011357344,1.1273906433972776,2.633582226514215,53985.04768594387,77.13915054852828,644.3951542762098,699.8397999208178,0.000790459601728387,0.0009217788945959427,0.9436742520062091,0.8575371017524557,0.4741957564038761,0.00285712432131745,3.8803902871850564,165.9695914755363
5,0.010738328285782871,0.005035736139186998,1.1307538358905938,2.1324247317526326,26216.39860176055,36.6651737548791,468.8779186124083,715.0218018064592,0.007109496560698588,0.004376066303312286,0.8132088058705804,1.624631819521871,26215.934830770788,36.62158956749025,468.59773182121415,715.8601016609946,0.013613788279984593,0.005205053481767578,1.9476215960109733,2.6154944089760823,70970.13073749199,28.02527114069816,777.5253898069859,2532.361966497784,0.012591176274989166,0.005982853706231956,0.9894181445417882,2.104543566203824,70979.65424947963,31.753660691002715,773.4267499251454,2235.3219346955943,0.0006405693364943173,0.000683418567701669,0.958203451469185,0.9373016285591226,0.3805322173365289,0.0039261442156359695,4.0986398818399445,96.92262852216423
6,0.038697714678551924,0.013080312255405848,1.4903047091412742,2.958470250781581,42888.65913896942,12.968927883823433,645.1916897506925,3307.03197081278,0.028640868383426804,0.012408027541581232,1.1329639889196677,2.308253127859911,42893.285628311816,12.99030625508354,644.9423822714681,3301.9456805744085,0.031024746206509024,0.009750077582633779,1.7184927377443944,3.181999932161395,113463.5178283515,18.585313423234922,1053.8096850331149,6105.009651680239,0.015618119005474312,0.006583096199437045,0.9361873906011692,2.3724579639000107,113363.60176922244,19.067897396917843,1049.1685740831003,5945.259690119094,0.005252500997744409,0.008248135180972047,0.7823053471432252,0.636810731456198,0.37069684839009187,0.002601209922246179,4.64111095001454,142.509393501771
7,0.03357957584271016,0.010468366338013702,1.156437125748503,3.2077188319989234,59202.98089454991,155.37448327871766,739.9423652694611,381.03412893318506,0.025491727795717525,0.009781647325910928,0.8779940119760479,2.606077171499697,59204.522216457204,155.59554612998963,739.6309880239521,380.50267947255895,0.03472758646182407,0.007688463215245805,2.2917365361342945,4.516843677285358,153024.46345485683,91.19251159414031,1193.2082474285291,1678.0376017704682,0.015037082157880419,0.004133146134908166,1.2134392344369849,3.6381685203140117,153112.081113875,95.22895870928166,1190.1288564220222,1607.831096644677,0.006959550105402852,0.00660400478279874,1.0782973016973096,1.053837835419228,0.45209767755348623,0.012755421302684868,3.0793910065070986,35.44357076299196
8,0.03589617580308865,0.010314622563236397,1.348447204968944,3.4801249956571922,72904.60900874552,47.328795687004835,804.9919254658386,1540.3858887701022,0.027791383362381215,0.009771808489806298,1.024223602484472,2.844036842450656,72907.46604890996,47.28439808343832,804.716149068323,1541.8926538994328,0.1322074440345751,0.023585251342544144,3.02579910001856,5.605513467481829,190596.69237597584,42.587593351634354,1323.104723375955,4475.4041582549635,0.08519552274905726,0.01804136844773708,1.9181029351562484,4.722231741780281,190577.30694670108,46.66804656542988,1318.5128534547562,4083.6786832186444,0.008659551625514015,0.008494817944708386,1.1076961648623114,1.0193922555936876,0.43629775873778803,0.0028465162606512878,4.591869921199995,153.27428996943877
9,0.03192141847040227,0.015151474765756115,1.1215139442231075,2.1068192346891506,88889.86991567921,64.82223779401751,908.390438247012,1371.2866593427436,0.02473105777243518,0.015471775146801764,0.8100929614873837,1.598462848495277,88892.81159325832,64.79659664784364,908.1049136786189,1371.8747000922397,0.15948059281052826,0.03511290511797923,2.8226699997756826,4.541936711721063,240577.5065305891,40.89773982645466,1531.6761465042198,5882.415692198516,0.11326905625736902,0.029513466861467032,1.8150685280372068,3.8378770203121686,240658.05580051444,41.85687900613744,1528.2017152418175,5749.546108424064,0.00782051691667048,0.009067314688768934,1.007601471738476,0.8624953677142387,0.4213880788307799,0.011840915178558203,3.474431262401463,35.587458610787024
