round,N1_cov,N1_cov_var,N1_est_mean,N1_est_var,N2_cov,N2_cov_var,N2_est_mean,N2_est_var,NQ1_cov,NQ1_cov_var,NQ1_est_mean,NQ1_est_var,NQ2_cov,NQ2_cov_var,NQ2_est_mean,NQ2_est_var,T1_cov,T1_cov_var,T1_est_mean,T1_est_var,T2_cov,T2_cov_var,T2_est_mean,T2_est_var,W1_cov,W1_cov_var,W1_est_mean,W1_est_var,W2_cov,W2_cov_var,W2_est_mean,W2_est_var,X1_cov,X1_cov_var,X1_est_mean,X1_est_var,X2_cov,X2_cov_var,X2_est_mean,X2_est_var
0,,,1.28698224852071,3.125111934402051,,,12.458579881656805,71.42409530665637,,,1.0,2.4391691394658754,,,12.165680473372781,71.03478306673924,,,2.2685505719938863,4.074178514431857,,,24.644423706000843,280.112520575532,,,1.506265703255446,3.1450508645137463,,,21.99094958740149,245.96277313579085,,,0.7622848687384411,0.6554484222053198,,,2.6534741185993496,17.350072214116466
1,0.06521282949075846,0.04781730989881307,0.9258373205741627,1.3637912636398057,164.82475522208722,2.9152121897853696,30.614832535885167,56.539539660137855,0.06016631945239348,0.06168993405020499,0.65311004784689,0.9753020550067123,164.32266833515604,2.8935903642339373,30.294258373205743,56.78850412492979,0.1635757250261652,0.05549041758912452,1.6965790254530375,2.947819319676991,705.1944409622078,2.538783758862877,62.19956825271262,277.7686120373107,0.2676229273107392,0.12832663738733494,0.7746607178832314,2.0854822721097186,620.0934549984677,4.000725923349783,57.20723715433471,154.99523508455366,0.012741417396563566,0.013810742623462094,0.9219183075698061,0.9225729378895291,2.7351259859293893,0.035633900456100785,4.992331098377886,76.75628968259959
2,0.10356100428269437,0.13791327182338908,0.6450381679389313,0.7509139832119563,171.17419980672312,12.712081863065512,37.85496183206107,13.465473370185217,0.08522020963441691,0.1825895593188588,0.4198473282442748,0.46673101108478837,170.4407035814815,12.653981491226315,37.50381679389313,13.469334035272393,0.08755938762026728,0.017895224927904404,2.114149658496743,4.8928911468295695,635.9372219211095,11.993990150145335,72.57709852282272,53.021322675790564,0.1340511385666438,0.03867951214166092,1.1672778471289234,3.4656884522144744,623.1836950425711,16.7716802164415,70.24890417990919,37.156903005559094,0.010029641922364359,0.010331993800448528,0.9468718113678198,0.9707363473184581,2.1122805926908432,0.2009958169210706,2.328194342913544,10.509077378064632
3,0.08584071080236275,0.057991896830373826,1.2118491921005385,1.4802190563527633,563.9177292514751,1.1159974788143125,69.3931777378815,505.30376632266893,0.06211615147220591,0.058922785079853934,0.8366247755834829,1.0541957816152823,565.2238208685314,1.1194009616709957,69.15619389587074,504.9341926817613,0.05851627317240066,0.017680593007863184,2.050372031375273,3.309632948757794,1809.2954702289355,0.9948809508730763,127.58060321085676,1818.6049985590282,0.09859429453747671,0.058660428489840155,0.9572882391751364,1.680763285841886,1643.587654455658,1.3710717035191335,119.90512150456576,1198.7612684566802,0.018356778813770683,0.016089566133248374,1.0930837922001364,1.140911983688436,6.140585258188237,0.026436677364247825,7.675481706291021,232.27522784283707
4,0.06446100027165963,0.04065029297406688,0.9973684210526316,1.5857450354117484,1624.143637871736,69.2124958504566,115.07894736842105,23.46604638244701,0.04670976433694083,0.04065941130489521,0.7026315789473684,1.1488057214275795,1625.1356253821243,67.53999925189736,114.77894736842106,24.061824746562614,0.08795966553632927,0.02392851728574084,2.5018404555339555,3.6759346384050717,4189.036925541007,24.27086913423119,190.74759403797682,172.59525822389548,0.11189425571480353,0.0342477856743109,1.536967748106723,3.267196798616235,4113.902796539713,32.29567489758081,187.36330161073147,127.38246869235965,0.013996518656727108,0.014728996438587643,0.9648727074272324,0.9502696748611087,4.816827772934774,0.23577427874898776,3.3842924272452364,20.429827199526333
5,0.05163616224280113,0.03166255129143257,0.9933110367892977,1.6308275908509349,2225.565427960493,99.58545756148922,127.62876254180603,22.34829745684819,0.03741461168930975,0.03278313237034986,0.705685618729097,1.1412762900944984,2226.342049422727,98.52417480998214,127.32775919732441,22.596911404906905,0.07150137837249197,0.02327805696966314,2.2087718331615154,3.071621418646553,5894.6717468501265,40.929717110919434,219.08387406987976,144.0193620414131,0.09117457066428723,0.046116599393859446,1.0887173220715909,1.9770445319614651,5906.963380240714,68.23810725237654,216.6229769215241,86.56399800765271,0.01673295015388972,0.013733432023516757,1.1200545110899247,1.2184099448147172,4.361465339299848,0.1781564695709755,2.4608971483556092,24.48109434253405
6,0.052583736089803323,0.06693832174762362,0.7514619883040936,0.7855550410728679,2534.2811505350273,118.8812029739922,134.4795321637427,21.31776165731983,0.03863263285784818,0.07866147966247593,0.49122807017543857,0.49112517363790703,2534.395342774559,117.86931030806805,134.15204678362574,21.50174066642589,0.1613818951330508,0.24478163011498363,1.295898271234114,0.659289241015526,7485.616981309523,52.01408620475317,250.35411159141907,143.9151877405369,0.15124560116617383,0.3893223640703911,0.44600650719279883,0.3884842360066117,7515.52832231918,81.27485832575461,246.95025752417735,92.47051889277348,0.01594303131114715,0.03061684328634321,0.8498917640413152,0.5207274689307573,3.671992534824585,0.13340394412306184,3.403854067241846,27.525367101869662
7,0.047093420360409685,0.02880540171109745,1.1002949852507375,1.6348815695309908,2773.053318753984,34.06494441506027,144.6873156342183,81.40489780244599,0.03423452401203043,0.03030344877668271,0.7817109144542773,1.1297236913302264,2773.619477662978,33.87350713999088,144.41002949852506,81.88167425948222,0.1990596949132294,0.025671385254274284,2.7164874518208375,7.754146998362153,8465.125849649254,28.786809784197583,263.34004974350245,294.06265970799427,0.1895997396491165,0.0324734638973484,1.7607622703608081,5.838605337837032,8523.651253147278,38.20694301427821,260.5208137385297,223.0916838848355,0.013667922545234515,0.007570383454602745,0.9557251814600295,1.8054465308391352,3.278343281272902,0.10690067431498797,2.819236004972747,30.667189915127253
8,0.04203392562202471,0.03355450416271345,0.9027355623100304,1.2527059085180519,3150.55693906811,153.61584726958029,164.75379939209728,20.50932241085258,0.030592846557334408,0.03619091490566839,0.6231003039513677,0.8453184075913708,3150.8889371092014,153.85727310304023,164.4437689969605,20.47929794647413,0.17547829845578422,0.06504089783400048,2.214792015168298,2.697968575151679,9672.417958153846,19.087491414258142,294.10560534672726,506.7411818678624,0.16820181221458919,0.12423626388002369,1.0108045567529644,1.3538865944731202,9726.61963642957,71.12982449257238,290.48514507373585,136.7446033477175,0.019023811777442202,0.014353374092081247,1.2039874584153336,1.3253895324819573,2.869537584188683,0.019891240616517803,3.6204602729913606,144.2613680820794
9,0.04280801007855595,0.02264173543914024,1.2127659574468086,1.8906682393503607,3771.7521023555623,10.736245100175184,191.5468085106383,351.31017102934976,0.03065912588310974,0.022093100656477627,0.8765957446808511,1.3877239940117043,3772.7145078047256,10.745766236228036,191.27872340425532,351.0884589211964,0.19647778950964817,0.07784946992996919,1.4822314313010656,2.5238166642161226,10808.173759447747,11.414762240575683,315.8578942092027,946.8592977809283,0.16944785765593204,0.1301479613892159,0.6922622998412158,1.3019632105430163,10792.58014780362,15.932217430441357,309.99326480837567,677.4060293190865,0.020515699819624953,0.020799010429210188,0.7899691314598499,0.9863786495732819,3.017425373654607,0.02163073284067628,5.864629400826911,139.49714029015155
