rho, mu , E_W1 , Var_W1 , E_NQ1 , E_T1 , E_N1 , E_W2 , E_NQ2 , E_T2 , E_N2, E_T
0.2, 1, 0.11111111111111112, 0.2345679012345679,  0.011111111111111113, 1.1111111111111112, 0.11111111111111112,  0.5277777777777777,  0.05277777777777777, 1.5277777777777777, 0.1527777777777778, 2.5
0.4, 1, 0.25, 0.5625,  0.05, 1.25, 0.25,  1.5000000000000004,  0.3000000000000001, 2.5000000000000004, 0.5000000000000001, 3.3333333333333335
0.6, 1, 0.4285714285714286, 1.0408163265306123,  0.1285714285714286, 1.4285714285714286, 0.42857142857142855,  3.6428571428571423,  1.0928571428571427, 4.642857142857142, 1.3928571428571426, 5.0
0.8, 1, 0.6666666666666667, 1.7777777777777781,  0.2666666666666667, 1.6666666666666667, 0.6666666666666667,  10.66666666666667,  4.266666666666668, 11.66666666666667, 4.666666666666668, 10.000000000000002   
0.9, 1, 0.8181818181818181, 2.3057851239669422,  0.36818181818181817, 1.8181818181818181, 0.8181818181818181,  25.36363636363637,  11.413636363636368, 26.36363636363637, 11.863636363636367, 20.0
